wrapper,attention_backend,inner_steps,seed,steps,status,second_order_path_all,second_order_path_any,second_order_path_attn_all,second_order_path_attn_any,second_order_path_head_all,second_order_path_head_any,sdpa_input_gradgrad_ok,rel_diff_mean,grad_norm_q_proj,grad_norm_k_proj,grad_norm_v_proj,error
baseline,reference,1,0,1,OK,True,True,True,True,True,True,True,0.144946,4.218088150024414,4.127514839172363,13.990406036376953,
baseline,reference,5,0,1,OK,True,True,True,True,True,True,True,0.630858,18.812213897705078,17.973539352416992,24.673471450805664,
baseline,reference,10,0,1,OK,True,True,True,True,True,True,True,0.708650,35.47654724121094,29.922204971313477,31.833553314208984,
baseline,reference,20,0,1,OK,True,True,True,True,True,True,True,0.728491,42.726112365722656,35.312416076660156,26.911224365234375,
baseline,custom,1,0,1,OK,True,True,True,True,True,True,True,0.144946,4.218088150024414,4.127514839172363,13.990406036376953,
baseline,custom,5,0,1,OK,True,True,True,True,True,True,True,0.630858,18.812213897705078,17.973539352416992,24.673471450805664,
baseline,custom,10,0,1,OK,True,True,True,True,True,True,True,0.708650,35.47654724121094,29.922203063964844,31.833553314208984,
baseline,custom,20,0,1,OK,True,True,True,True,True,True,True,0.728491,42.726112365722656,35.312416076660156,26.911224365234375,
baseline,triton_fused,1,0,1,HARD_FAIL_OTHER,,,,,,,True,,,,,
baseline,triton_fused,5,0,1,HARD_FAIL_OTHER,,,,,,,True,,,,,
baseline,triton_fused,10,0,1,HARD_FAIL_OTHER,,,,,,,True,,,,,
baseline,triton_fused,20,0,1,HARD_FAIL_OTHER,,,,,,,True,,,,,
detach_attention_output,reference,1,0,1,OK,True,True,False,False,True,True,False,0.059529,0.0,0.0,0.0,
detach_attention_output,reference,5,0,1,OK,True,True,False,False,True,True,False,0.341524,0.0,0.0,0.0,
detach_attention_output,reference,10,0,1,OK,True,True,False,False,True,True,False,0.703218,0.0,0.0,0.0,
detach_attention_output,reference,20,0,1,OK,True,True,False,False,True,True,False,1.071961,0.0,0.0,0.0,
detach_attention_output,custom,1,0,1,OK,True,True,False,False,True,True,False,0.059529,0.0,0.0,0.0,
detach_attention_output,custom,5,0,1,OK,True,True,False,False,True,True,False,0.341524,0.0,0.0,0.0,
detach_attention_output,custom,10,0,1,OK,True,True,False,False,True,True,False,0.703218,0.0,0.0,0.0,
detach_attention_output,custom,20,0,1,OK,True,True,False,False,True,True,False,1.071961,0.0,0.0,0.0,
detach_attention_output,triton_fused,1,0,1,HARD_FAIL_OTHER,,,,,,,False,,,,,
detach_attention_output,triton_fused,5,0,1,HARD_FAIL_OTHER,,,,,,,False,,,,,
detach_attention_output,triton_fused,10,0,1,HARD_FAIL_OTHER,,,,,,,False,,,,,
